symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
ASHOKLEY,ASHOKLEYEQN,EQ,INE208A01029,Commercial Vehicles,Ashok Leyland Limited,240.1,-3.7,-1.52,3832957.0,918606474.62,264.65,9.276402796145847,-52.396064741351935,39.22,2.52,,,,,,,,,,,,,,
VOLTAS,VOLTASEQN,EQ,INE226A01021,Household Appliances,Voltas Limited,1900.0,-16.0,-0.84,397440.0,757278201.6,1935.0,1.8087855297157622,-135.52745754307674,100.41,16.96,,,,,,,,,,,,,,
MRF,MRFEQN,EQ,INE883A01011,Tyres & Rubber Products,MRF Limited,135705.0,-722.0,-0.53,1772.0,240919436.6,151445.0,10.393212057182476,-27.536299985902918,24.86,-2.55,,,,,,,,,,,,,,
HDFCAMC,HDFCAMCEQN,EQ,INE127D01025,Asset Management Company,HDFC Asset Management Company Limited,4413.85,-19.15,-0.43,55667.0,245895612.42000002,4546.2,2.91122255950023,-72.2377226698925,81.82,7.19,,,,,,,,,,,,,,
IDFCFIRSTB,IDFCFIRSTBEQN,EQ,INE092T08CP8,Private Sector Bank,IDFC First Bank Limited,73.48,-0.26,-0.35,9912993.0,727316296.4100001,98.4,25.32520325203252,-4.330540962657953,-20.94,-0.63,,,,,,,,,,,,,,
AUROPHARMA,AUROPHARMAEQN,EQ,INE406A01037,Pharmaceuticals,Aurobindo Pharma Limited,1559.9,-4.1,-0.26,249731.0,389375580.58000004,1592.0,2.0163316582914517,-86.89270951896006,90.1,8.74,,,,,,,,,,,,,,
UPL,UPLEQN,EQ,INE628A03024,Pesticides & Agrochemicals,UPL Limited,612.35,-1.45,-0.24,910348.0,557132976.0,639.05,4.178076832798675,-36.74631531933899,-0.77,11.3,,,,,,,,,,,,,,
IDEA,IDEAEQN,EQ,INE669E01016,Telecom - Cellular & Fixed line services,Vodafone Idea Limited,13.23,-0.01,-0.08,114929957.0,1517075432.3999999,19.18,31.021897810218974,-26.000000000000007,56.4,-2.98,,,,,,,,,,,,,,
AUBANK,AUBANKEQN,EQ,INE949L01017,Other Bank,AU Small Finance Bank Limited,718.35,-0.6,-0.08,481888.0,346202795.84,813.4,11.685517580526183,-29.736319306483647,-5.09,8.01,,,,,,,,,,,,,,
POLYCAB,POLYCABEQN,EQ,INE455K01017,Cables - Electricals,Polycab India Limited,6720.0,-4.45,-0.07,63724.0,427758183.08,7331.45,8.340096433856875,-76.79558011049724,30.82,0.92,,,,,,,,,,,,,,
CONCOR,CONCOREQN,EQ,INE111A01025,Logistics Solution Provider,Container Corporation of India Limited,948.95,-0.05,-0.01,489500.0,462934835.0,1180.0,19.58050847457627,-41.17078250520678,40.48,-6.31,,,,,,,,,,,,,,
FEDERALBNK,FEDERALBNKEQN,EQ,INE171A01029,Private Sector Bank,The Federal Bank  Limited,184.87,0.18,0.1,2516049.0,463254941.88,206.59,10.513577617503268,-34.69581056466302,35.4,-1.52,,,,,,,,,,,,,,
BHARATFORG,BHARATFORGEQN,EQ,INE465A01025,Auto Components & Equipments,Bharat Forge Limited,1604.8,3.6,0.22,1091033.0,1741168654.3700001,1804.5,11.066777500692714,-60.11174299112042,47.11,-4.13,,,,,,,,,,,,,,
ASTRAL,ASTRALEQN,EQ,INE006I01046,Plastic Products - Industrial,Astral Limited,1909.85,5.7,0.3,141954.0,270890818.2,2454.0,22.174001629991853,-9.76149425287356,0.43,-9.91,,,,,,,,,,,,,,
CUMMINSIND,CUMMINSINDEQN,EQ,INE298A01020,Compressors Pumps & Diesel Engines,Cummins India Limited,3830.6,12.9,0.34,107148.0,408813550.68,4171.9,8.180924758503313,-131.69418738281016,119.5,6.66,,,,,,,,,,,,,,
HINDPETRO,HINDPETROEQN,EQ,INE094A01015,Refineries & Marketing,Hindustan Petroleum Corporation Limited,411.65,1.45,0.35,2556087.0,1044979487.34,457.15,9.952969484851799,-158.1363265818022,67.45,7.66,,,,,,,,,,,,,,
INDHOTEL,INDHOTELEQN,EQ,INE053A01029,Hotels & Resorts,The Indian Hotels Company Limited,693.65,2.7,0.39,443776.0,305575278.08000004,703.75,1.43516873889876,-86.66576964477932,52.62,2.97,,,,,,,,,,,,,,
GODREJPROP,GODREJPROPEQN,EQ,INE484J01027,Residential Commercial Projects,Godrej Properties Limited,2854.95,16.45,0.58,148606.0,423119919.56000006,3402.7,16.097510800246862,-86.35443864229764,77.0,-3.08,,,,,,,,,,,,,,
COFORGE,COFORGEEQN,EQ,INE591G01017,Computers - Software & Consulting,Coforge Limited,7030.0,40.7,0.58,151696.0,1061966051.52,7088.1,0.8196836952074655,-63.974575777013236,16.36,4.34,,,,,,,,,,,,,,
PAGEIND,PAGEINDEQN,EQ,INE761H01022,Garments & Apparels,Page Industries Limited,43440.15,384.55,0.89,6710.0,291015652.40000004,43943.5,1.1454481322607406,-31.357981013031424,6.78,-0.66,,,,,,,,,,,,,,
PERSISTENT,PERSISTENTEQN,EQ,INE262H01021,Computers - Software & Consulting,Persistent Systems Limited,5361.3,60.3,1.14,200526.0,1074428334.3,5405.25,0.8130983765783233,-284.543107158227,-6.72,11.53,,,,,,,,,,,,,,
PIIND,PIINDEQN,EQ,INE603J01030,Pesticides & Agrochemicals,PI Industries Limited,4714.55,58.05,1.25,79344.0,369856501.92,4748.9,0.7233254016719547,-46.414596273291934,24.15,5.06,,,,,,,,,,,,,,
MPHASIS,MPHASISEQN,EQ,INE356A01018,Computers - Software & Consulting,MphasiS Limited,3165.2,39.45,1.26,170505.0,538596309.15,3187.8,0.7089528828659377,-52.97472330965154,27.61,11.88,,,,,,,,,,,,,,
LUPIN,LUPINEQN,EQ,INE326A01037,Pharmaceuticals,Lupin Limited,2282.5,30.65,1.36,356478.0,809668481.4000001,2312.0,1.2759515570934257,-109.11589555657352,104.8,14.21,,,,,,,,,,,,,,
JUBLFOOD,JUBLFOODEQN,EQ,INE797F01020,Restaurants,Jubilant Foodworks Limited,680.0,15.75,2.37,1577508.0,1060921455.24,685.0,0.7299270072992701,-61.501009381308634,28.51,7.19,,,,,,,,,,,,,,
RECLTD,RECLTDEQN,EQ,INE020B07IC4,Financial Institution,REC Limited,549.75,-10.95,-1.95,7469305.0,4104308404.4500003,654.0,15.940366972477063,-129.4449081803005,128.95,-3.27,,,,,,,,,,,,,,
PFC,PFCEQN,EQ,INE134E07422,Financial Institution,Power Finance Corporation Limited,485.2,-5.85,-1.19,9730943.0,4693331118.33,580.0,16.3448275862069,-117.53945480631276,75.75,-2.62,,,,,,,,,,,,,,
HDFCLIFE,HDFCLIFEEQN,EQ,INE795G01014,Life Insurance,HDFC Life Insurance Company Limited,695.95,-5.4,-0.77,1404436.0,979566021.28,761.2,8.571991592222805,-36.08721157606572,8.75,1.73,,,,,,,,,,,,,,
SBICARD,SBICARDEQN,EQ,INE018E01016,Non Banking Financial Company (NBFC),SBI Cards and Payment Services Limited,797.0,-3.5,-0.44,379078.0,302534570.24,841.25,5.260029717682021,-23.003318157265213,-4.59,14.58,,,,,,,,,,,,,,
IDFC,IDFCEQN,EQ,INE043D07427,Holding Company,IDFC Limited,110.53,-0.46,-0.41,2337648.0,258403609.92000002,137.0,19.32116788321168,-5.7703349282296665,-12.23,2.93,,,,,,,,,,,,,,
SBILIFE,SBILIFEEQN,EQ,INE123W01016,Life Insurance,SBI Life Insurance Company Limited,1817.8,-3.45,-0.19,453099.0,827526420.63,1936.0,6.105371900826448,-43.77348044449718,32.68,7.84,,,,,,,,,,,,,,
BAJAJFINSV,BAJAJFINSVEQN,EQ,INE918I01026,Holding Company,Bajaj Finserv Limited,1855.75,-1.85,-0.1,1090949.0,2027463259.56,1921.0,3.396668401874024,-30.7741094394137,20.77,19.85,,,,,,,,,,,,,,
HDFCBANK,HDFCBANKEQN,EQ,INE040A01034,Private Sector Bank,HDFC Bank Limited,1669.95,-1.0,-0.06,4314960.0,7200977846.4,1794.0,6.914715719063543,-22.470756481243818,0.55,2.38,,,,,,,,,,,,,,
SBIN,SBINEQN,EQ,INE062A08041,Public Sector Bank,State Bank of India,785.1,-0.45,-0.06,5316195.0,4170342329.7000003,912.0,13.914473684210524,-44.53240058910161,31.19,-3.27,,,,,,,,,,,,,,
ICICIPRULI,ICICIPRULIEQN,EQ,INE726G01019,Life Insurance,ICICI Prudential Life Insurance Company Limited,750.0,0.1,0.01,348990.0,261013110.89999998,772.9,2.962867123819379,-61.82975509763729,26.03,4.15,,,,,,,,,,,,,,
LICHSGFIN,LICHSGFINEQN,EQ,INE115A01026,Housing Finance Company,LIC Housing Finance Limited,681.35,0.6,0.09,3163087.0,2146628992.55,826.75,17.58693680072573,-57.71990740740742,48.39,3.42,,,,,,,,,,,,,,
CHOLAFIN,CHOLAFINEQN,EQ,INE121A01024,Non Banking Financial Company (NBFC),Cholamandalam Investment and Finance Company Limited,1566.9,2.15,0.14,1506410.0,2371224916.9,1594.0,1.7001254705144233,-54.95450949367089,27.52,14.29,,,,,,,,,,,,,,
ICICIBANK,ICICIBANKEQN,EQ,IN9090A01045,Private Sector Bank,ICICI Bank Limited,1266.2,3.35,0.27,4498632.0,5698102250.160001,1271.2,0.3933291378225299,-40.845383759733046,27.25,6.37,,,,,,,,,,,,,,
AXISBANK,AXISBANKEQN,EQ,INE238A01034,Private Sector Bank,Axis Bank Limited,1237.7,6.65,0.54,3943915.0,4877321363.05,1339.65,7.610196693166127,-30.09249527012824,19.85,5.5,,,,,,,,,,,,,,
BAJFINANCE,BAJFINANCEEQN,EQ,INE296A01024,Non Banking Financial Company (NBFC),Bajaj Finance Limited,7387.0,41.25,0.56,1020784.0,7543042536.64,8192.0,9.82666015625,-19.380070461230158,-1.95,11.45,,,,,,,,,,,,,,
ICICIGI,ICICIGIEQN,EQ,INE765G01017,General Insurance,ICICI Lombard General Insurance Company Limited,2107.3,12.4,0.59,199354.0,418001480.12000006,2285.0,7.77680525164113,-66.45339652448658,52.04,2.86,,,,,,,,,,,,,,
